src_name,dst_name,classification
ip_iga_tco_1_is_ivvt__n__maf,ip_iga_tco_1_is_ivvt__n__maf,DIRECT_COPY
ip_iga_tco_1_pl_ivvt__n__maf,ip_iga_tco_1_pl_ivvt__n__maf,DIRECT_COPY
ip_iga_tco_2_is_ivvt__n__maf,ip_iga_tco_2_is_ivvt__n__maf,DIRECT_COPY
ip_iga_tco_ch_at__tco__t_ast,ip_iga_tco_ch_at__tco__t_ast,DIRECT_COPY
ip_iga_tco_ch_is__tco__t_ast,ip_iga_tco_ch_is__tco__t_ast,DIRECT_COPY
ip_iga_tco_ch_mt__tco__t_ast,ip_iga_tco_ch_mt__tco__t_ast,DIRECT_COPY
ip_iga_tco_is__tco,ip_iga_tco_is__tco,DIRECT_COPY
ip_iga_tco_st__tco,ip_iga_tco_st__tco,DIRECT_COPY
ip_iga_tqr__n__maf,ip_iga_tqr__n__maf,DIRECT_COPY
ip_iga_tra_knk__n__maf,ip_iga_tra_knk__n__maf,DIRECT_COPY
ip_igab__n__maf,ip_igab__n__maf,DIRECT_COPY
ip_igab_adc__tco,ip_igab_adc__tco,DIRECT_COPY
ip_igab_is__n__maf,ip_igab_is__n__maf,DIRECT_COPY
ip_isapwm__tco,ip_isapwm__tco,DIRECT_COPY
ip_isapwm_accin_n_maf__n__pq,ip_isapwm_accin_n_maf__n__pq,DIRECT_COPY
ip_isapwm_acin__tco,ip_isapwm_acin__tco,DIRECT_COPY
ip_isapwm_at__tco,ip_isapwm_at__tco,DIRECT_COPY
ip_isapwm_ch_dec__tco,ip_isapwm_ch_dec__tco,DIRECT_COPY
ip_isapwm_d_is__n_grd,ip_isapwm_d_is__n_grd,DIRECT_COPY
ip_isapwm_dri__tco,ip_isapwm_dri__tco,DIRECT_COPY
ip_isapwm_dri_acin__tco,ip_isapwm_dri_acin__tco,DIRECT_COPY
ip_isapwm_dri_lgrd_dec__tco,ip_isapwm_dri_lgrd_dec__tco,DIRECT_COPY
ip_isapwm_dri_lgrd_inc__tco,ip_isapwm_dri_lgrd_inc__tco,DIRECT_COPY
ip_isapwm_ecf_add__ecfpwm,ip_isapwm_ecf_add__ecfpwm,DIRECT_COPY
ip_isapwm_ini_i_st__tco,ip_isapwm_ini_i_st__tco,DIRECT_COPY
ip_isapwm_p_is__n_dif_cor,ip_isapwm_p_is__n_dif_cor,DIRECT_COPY
ip_isapwm_pos_i_is__n_dif_cor,ip_isapwm_pos_i_is__n_dif_cor,DIRECT_COPY
